,RASDSSinfo,DecSDSSinfo,zSDSSinfo,HalphaSDSSline [1e-17*erg/cm^2/s],OIII5007SDSSline [1e-17*erg/cm^2/s],OIII4959SDSSline [1e-17*erg/cm^2/s],HbetaSDSSline [1e-17*erg/cm^2/s],HdeltaSDSSline [1e-17*erg/cm^2/s],N6548SDSS [1e-17*erg/cm^2/s],N6584SDSS [1e-17*erg/cm^2/s],S6717SDSSline [1e-17*erg/cm^2/s],S6731SDSSline [1e-17*erg/cm^2/s],OII3726SDSSline [1e-17*erg/cm^2/s],OII3729SDSSline [1e-17*erg/cm^2/s],OI6300SDSSline [1e-17*erg/cm^2/s],HalphaSDSSline_ERR,OIII5007SDSSline_ERR,OIII4959SDSSline_ERR,HbetaSDSSline_ERR,HdeltaSDSSline_ERR,N6548SDSS_ERR,N6583SDSS_ERR,S6717SDSSline_ERR,S6731SDSSline_ERR,OII3726SDSSline_ERR,OII3729SDSSline_ERR,OI6300SDSSline_ERR,LOG_OH+12_T04_med,LOG_OH+12_T04_avg,Mstaravg_SDSStotlgm,Mstarmed_SDSStotlgm,Dn4000SDSSindx ,D4000SDSSindx ,Dn4000SDSSindx_err,D4000SDSSindx_err,petroRad,petroRadE,petroR50,petroR50E,petroR90,petroR90E,PETRO_MASS,MODEL_MASS,FIBER_MASS,U_PETRO_ABSMAG,G_PETRO_ABSMAG,R_PETRO_ABSMAG,I_PETRO_ABSMAG,Z_PETRO_ABSMAG,SFR_flag_all,totalSFR_Avg,totalSFR_Med,sSFR_avg_all ,sSFR_med_all ,sSFR_flag_all,fibSFR_avg_all,fibSFR_med_all,fibsSFR_avg_all,fibsSFR_med_all
10,131.72623,2.5600553,0.028665992,971.4473,43.388145,19.665796,206.36621,44.773323,135.01279,407.2297,133.03743,103.20169,66.984215,95.31702,17.867538,6.275699,2.4287271,2.3799212,3.0257056,2.872732,1.2451961,3.7557948,2.815894,2.8474424,6.4514346,6.358012,2.1772773,9.14985,9.1594095,10.234031,10.220416,1.3246229,1.4415606,1.3246229,0.007161234,8.672187,0.16619793,3.9179065,0.016011314,9.606381,0.103190914,13120294000.0,14731203000.0,2010569000.0,-18.019438,-19.503315,-20.190233,-20.501743,-20.802458,0.0,0.1701801,0.1701801,-10.10057,-10.147942,0,-0.0458879,-0.063789524,-9.46146,-9.486285
11,165.10786,4.223631,0.038632803,1622.8369,91.45656,35.477413,410.3726,96.017235,209.94316,633.23706,274.3307,201.25438,226.07828,180.12843,24.693369,14.97765,4.504085,3.9475772,6.4410205,4.878067,2.4876487,7.5033154,5.791693,5.170329,11.008301,10.709739,3.6519866,9.073587,9.089467,10.237444,10.221483,1.143027,1.2282895,1.143027,0.0062076217,7.1007094,0.102369726,2.8074641,0.019163232,8.973061,0.11265637,16667002000.0,17182284000.0,3303168500.0,-18.717077,-19.935093,-20.52381,-20.81306,-21.012804,0.0,0.38283008,0.38283008,-9.88817,-9.956654,0,0.057844665,0.037958506,-9.51229,-9.531693
12,168.86908,4.3487487,0.04002153,254.50845,10.639737,0.532664,42.55684,14.281183,34.33506,103.56247,44.56729,34.116783,28.892328,12.08678,7.370565,3.5860357,2.3441513,2.4181628,2.5849524,3.2016146,0.8675509,2.6167312,2.2406187,2.1428547,5.984445,5.5441937,2.0110657,-99.9,-99.9,10.143755,10.131007,1.2228521,1.4138119,1.2228521,0.020874714,9.9165,0.29281837,4.127911,0.029849637,10.345957,0.16263226,15113378000.0,13123180000.0,1918545800.0,-18.293987,-19.683815,-20.338293,-20.614216,-20.893076,0.0,-0.1680699,-0.1680699,-10.34984,-10.385234,0,-0.419874,-0.4775356,-9.837978,-9.893
13,150.41478,4.383917,0.047715686,548.035,35.76019,12.092491,129.8285,29.813047,65.753235,198.32693,130.97954,93.783264,88.48884,104.502396,15.209181,6.318925,2.9301953,2.7950907,3.4607172,2.9851735,1.2937154,3.9021401,3.5621827,3.3316367,5.8895674,6.2743635,2.5826228,8.954861,8.97029,10.225522,10.212867,1.3008103,1.4347513,1.3008103,0.01081612,4.684882,0.05944305,2.2067728,0.009502258,5.348096,0.07171801,16935525000.0,16102670000.0,4431411000.0,-18.415207,-19.741262,-20.400517,-20.71888,-20.955778,0.0,-0.0966999,-0.0966999,-10.36176,-10.402044,0,-0.3166909,-0.3339158,-10.08822,-10.111888
14,128.63281,42.916027,0.0401826,1536.3405,118.91375,42.336338,372.6817,93.157196,194.03773,585.2626,262.93088,196.86868,213.55914,249.54326,25.485088,13.272688,4.203484,3.589293,5.6604147,4.2343674,2.0791197,6.271098,4.850812,4.3692355,9.331774,9.549824,3.0154288,9.05,9.059998,10.103863,10.083583,1.1781034,1.2925391,1.1781034,0.0071660625,4.4499383,0.09372275,1.976948,0.01204165,5.7930775,0.09057228,9321030000.0,12874024000.0,2311191000.0,-18.487076,-19.488173,-20.016584,-20.278238,-20.500692,0.0,0.2041201,0.2041201,-9.93826,-9.974003,0,0.024510818,0.015095444,-9.36907,-9.388898
15,223.41666,2.9206438,0.04450493,1659.5225,146.11972,54.205517,375.0777,101.690994,258.35333,779.2533,360.42484,269.841,363.82498,240.72829,56.13558,15.758009,6.5085716,5.7391167,7.628847,6.424552,3.2363987,9.761715,7.604804,6.9675126,16.041252,15.3439455,5.3225093,8.991678,9.002872,10.433659,10.422363,1.2908883,1.4425929,1.2908883,0.011325316,7.0224466,0.16446196,2.7520306,0.023605756,8.97454,0.14474694,24579832000.0,24848577000.0,6409802000.0,-18.892946,-20.254148,-20.8806,-21.167234,-21.375092,0.0,0.4554601,0.4554601,-10.016069,-10.0589075,0,0.25477389,0.23516189,-9.65464,-9.679846
16,135.32156,47.360355,0.039695192,1263.2543,113.22567,33.82508,253.906,42.192974,204.65675,617.29205,212.92914,168.633,95.45318,105.43633,36.24643,10.706677,4.137288,3.6950622,4.6732283,3.5414574,2.195785,6.6229873,4.8698635,4.5646396,6.6807666,6.928687,3.895159,-99.9,-99.9,10.316,10.302443,1.3019235,1.483167,1.3019235,0.008487459,5.8739862,0.17531738,2.2731612,0.02182746,7.7133403,0.13791211,16994823000.0,17765861000.0,4984868400.0,-18.397734,-19.716932,-20.39637,-20.710142,-20.991282,0.0,0.4129801,0.4129801,-9.93278,-9.966431,0,0.24900982,0.26496193,-9.546331,-9.529454
17,175.70961,59.801865,0.04410564,1439.7668,515.1502,172.94064,456.59567,136.23415,245.48851,740.45,290.04138,230.02219,489.26996,375.55246,59.80535,11.203308,6.4244585,4.1617475,5.4422984,3.9512417,2.226894,6.7168183,4.678954,4.358046,10.387203,9.757553,3.1199498,-99.9,-99.9,10.13313,10.117732,1.0949805,1.1519064,1.0949805,0.0038138118,4.9861608,0.089842476,2.0357797,0.009649784,5.874711,0.061337788,14051438000.0,15684724000.0,4002536400.0,-18.8877,-19.979689,-20.508654,-20.73793,-20.95641,0.0,0.3218901,0.3218901,-9.84629,-9.881818,0,0.0027838114,0.005620989,-9.524595,-9.519784
18,198.2922,5.3283787,0.04879481,588.29785,415.69656,138.52315,160.94528,53.17008,79.39308,239.46785,82.85552,72.711044,114.9968,158.93468,37.73295,6.3854594,5.869587,3.8505173,4.3324966,4.341382,1.2770448,3.8518577,2.8822072,2.9008489,8.095177,9.26713,2.526834,-99.9,-99.9,9.92169,9.907434,1.2149756,1.2779629,1.2149756,0.01326111,5.2311783,0.14321887,2.21305,0.022645714,6.0282035,0.13915686,9843764000.0,9739686000.0,2538434600.0,-18.141577,-19.401308,-19.986118,-20.2566,-20.426207,0.0,-0.024689903,-0.024689903,-9.98532,-10.019778,0,-0.42995805,-0.43054017,-9.781673,-9.780197
19,246.51776,46.368275,0.029930959,3163.7896,92.89081,35.277534,699.2009,147.757,437.9779,1321.0425,423.48343,354.16653,222.37373,183.06155,54.721523,23.8858,4.5700326,4.1772013,7.9385614,4.649152,3.6180518,10.9128685,7.1099343,6.6819987,8.058658,7.936127,4.278817,9.15009,9.1603565,10.124366,10.110711,1.1810993,1.3012185,1.1810993,0.0042164284,4.1244636,0.022756213,1.7529399,0.004848584,5.003698,0.034084085,12212271000.0,12796799000.0,3975866400.0,-18.425585,-19.480032,-20.089832,-20.3875,-20.611307,0.0,0.4580501,0.4580501,-9.70898,-9.748015,0,0.35368344,0.3231259,-9.294129,-9.319334
20,238.3173,53.54352,0.04676596,784.8991,38.372025,19.515043,197.97052,51.781334,145.54984,439.0119,118.16807,114.58921,110.884285,66.14399,12.320677,7.5205345,2.7107606,2.520449,3.4804633,3.140502,1.5065608,4.5441303,2.8673725,3.226109,5.706517,5.4724154,2.2257793,-99.9,-99.9,10.470593,10.457099,1.2762225,1.3967749,1.2762225,0.007778964,9.497429,0.20917048,3.937162,0.01984792,10.141568,0.10893743,27988277000.0,28509288000.0,4782371300.0,-18.903528,-20.33808,-20.979126,-21.268356,-21.441437,0.0,0.5041701,0.5041701,-10.0013,-10.040408,0,-0.04538636,-0.039867498,-9.760528,-9.753747
21,241.0332,47.349693,0.04217683,1314.2534,151.93471,46.045235,369.74463,128.94394,313.3694,945.19446,105.31527,110.903496,204.75334,110.82687,21.31045,11.019598,4.7979093,3.985792,5.9838686,4.9901385,2.702243,8.15058,3.884294,3.953563,10.407779,10.298768,3.3934762,-99.9,-99.9,10.029741,10.001465,1.1268951,1.1973428,1.1268951,0.0057512126,4.8759775,0.057992965,2.0312197,0.011830692,5.605716,0.07416044,10590574000.0,11626778000.0,3498070800.0,-18.60493,-19.490484,-20.042847,-20.309853,-20.560106,0.0,0.3945401,0.3945401,-9.680079,-9.7,0,0.03849616,0.03870518,-9.451065,-9.449338
22,247.67445,40.529392,0.029812202,812.76465,30.524738,12.561411,183.73961,47.218365,131.76724,397.4404,104.88271,92.10827,64.81825,37.50141,10.711945,9.33423,3.7746906,3.5800889,4.79317,4.316838,2.0042534,6.0452847,4.329718,4.1997538,8.864923,8.618703,3.3486888,9.192612,9.212891,10.571247,10.5558815,1.197913,1.3138384,1.197913,0.010750923,15.942396,0.1586681,7.2686386,0.018780908,16.340212,0.107685365,24663228000.0,31928224000.0,2074548200.0,-18.778097,-20.19578,-20.84828,-21.142996,-21.360456,0.0,0.34142008,0.34142008,-10.26727,-10.3213215,0,-0.13557231,-0.16578612,-9.71352,-9.740977
