,Objra,Objdec,mangaid,plateifu,nsa_z,SDSS_RA_deg,SDSS_DEC_deg,SDSS_z,DR16_match_sep2d_deg,DR16_match_sep2d_arcsec
2656,230.943881691,8.64809118719,1-335380,11965-3702,0.030087072,230.94386291503903,8.648100852966309,0.03008707240223885,2.092828673944575e-05,0.0753418322620047
2656,230.943881691,8.64809118719,1-335380,11965-3702,0.030087072,230.94386291503903,8.648100852966309,0.03008707240223885,2.092828673944575e-05,0.0753418322620047
2658,230.490159756,7.51289857468,1-365004,11965-3704,0.04250193,230.4901580810547,7.512894630432129,0.04250193014740944,4.279552891601803e-06,0.015406390409766492
2658,230.490159756,7.51289857468,1-365004,11965-3704,0.04250193,230.4901580810547,7.512894630432129,0.04250193014740944,4.279552891601803e-06,0.015406390409766492
2691,228.987383034,9.11407438048,1-334736,11968-3703,0.045109306,228.9873809814453,9.11408519744873,0.045109305530786514,1.1005184518654529e-05,0.0396186642671563
2704,226.405423686,8.63504043421,1-333771,11969-1901,0.046124466,226.40542602539062,8.635028839111326,0.04612446576356888,1.1823522952210288e-05,0.04256468262795704
2712,227.739921071,7.60508486908,1-364507,11969-6103,0.04843294,227.7399139404297,7.605081558227539,0.04843293875455856,7.804884695806238e-06,0.028097584904902457
2728,224.52598185,10.9545458914,1-333429,11970-6102,0.04549313,224.5259552001953,10.954540252685547,0.045493129640817635,2.6764909849809968e-05,0.09635367545931589
2728,224.52598185,10.9545458914,1-333429,11970-6102,0.04549313,224.5259552001953,10.954540252685547,0.045493129640817635,2.6764909849809968e-05,0.09635367545931589
2771,243.546727767,19.3149338088,1-446290,11976-12705,0.030843768,243.54673767089844,19.314924240112305,0.030843768268823624,1.3375949143794997e-05,0.04815341691766199
2771,243.546727767,19.3149338088,1-446290,11976-12705,0.030843768,243.54673767089844,19.314924240112305,0.030843768268823624,1.3375949143794997e-05,0.04815341691766199
2771,243.546727767,19.3149338088,1-446290,11976-12705,0.030843768,243.54673767089844,19.314924240112305,0.030843768268823624,1.3375949143794997e-05,0.04815341691766199
2783,244.197891381,19.4746798739,1-633849,11976-9102,0.038767647,244.1978912353516,19.474655151367188,0.03876764699816704,2.47229141565962e-05,0.08900249096374632
2912,256.941288898,21.5292451377,1-324881,11984-3703,0.04915231,256.9412841796875,21.52923393249512,0.04915231093764305,1.2034158513570727e-05,0.04332297064885462
3402,338.030234824,0.0370669306217,1-27482,12069-12704,0.038942147,338.0302734375,0.03705539554357529,0.03894214704632759,4.029962514118305e-05,0.14507865050825897
3430,346.302324728,0.83438464152,1-28686,12071-12701,0.025170399,346.30230712890625,0.8344008326530457,0.025183193385601044,2.391265788875694e-05,0.08608556839952498
3440,347.882719134,-0.178620875358,1-28600,12071-3704,0.027504219,347.88262939453125,-0.1786203682422638,0.0275042187422514,8.974046552312668e-05,0.3230656758832561
3440,347.882719134,-0.178620875358,1-28600,12071-3704,0.027504219,347.88262939453125,-0.1786203682422638,0.0275042187422514,8.974046552312668e-05,0.3230656758832561
3440,347.882719134,-0.178620875358,1-28600,12071-3704,0.027504219,347.88262939453125,-0.1786203682422638,0.0275042187422514,8.974046552312668e-05,0.3230656758832561
3440,347.882719134,-0.178620875358,1-28600,12071-3704,0.027504219,347.88262939453125,-0.1786203682422638,0.0275042187422514,8.974046552312668e-05,0.3230656758832561
3457,18.5658025035,0.765361055536,1-33775,12074-12703,0.042497057,18.56581687927246,0.7653246521949768,0.04249705746769905,3.913858963945262e-05,0.14089892270202942
3474,18.8231951281,0.165288338297,1-108257,12075-1901,0.045055505,18.823190689086914,0.16527484357357025,0.04505550488829613,1.4206063270621238e-05,0.051141827774236454
3498,29.1377802755,-0.174999472916,1-34944,12078-6102,0.047719218,29.13774681091309,-0.17496493458747864,0.047659430652856834,4.809120781376244e-05,0.17312834812954478
3531,31.2701037754,-0.711722748107,1-35677,12080-6104,0.04319104,31.270055770874023,-0.7117515802383423,0.04319104179739952,5.599438126213199e-05,0.20157977254367518
3643,351.684831787,15.7149629237,1-118444,12089-12703,0.045754805,351.684814453125,15.714948654174805,0.0457548052072525,2.1955418294584702e-05,0.07903950586050493
3678,14.7795238103,14.5232818978,1-39661,12092-12704,0.04735448,14.77950382232666,14.52327823638916,0.047354478389024734,1.969264688129389e-05,0.070893528772658
3678,14.7795238103,14.5232818978,1-39661,12092-12704,0.04735448,14.77950382232666,14.52327823638916,0.047354478389024734,1.969264688129389e-05,0.070893528772658
3696,18.1831997972,15.5893660698,1-40777,12093-3703,0.042998664,18.18317985534668,15.589347839355467,0.04299866408109665,2.648217676917645e-05,0.09533583636903523
3708,18.4372944739,15.6834265206,1-40810,12094-1901,0.04427569,18.4372673034668,15.683412551879885,0.044275689870119095,2.9654882522487524e-05,0.10675757708095508
3768,198.923399906,33.7617572444,1-415565,12485-6103,0.034497887,198.9234161376953,33.76174545288086,0.034497886896133416,1.792027814650221e-05,0.06451300132740796
3773,137.163780277,29.5900892028,1-386814,12487-12702,0.048039053,137.16377258300778,29.59008407592773,0.04803905263543129,8.429009857747644e-06,0.03034443548789152
3783,137.878720293,28.8265918025,1-386733,12487-6101,0.03388847,137.87872314453122,28.82659149169922,0.03388847038149834,2.5174373110151307e-06,0.00906277431965447
3833,169.37806497,3.34417038504,1-62475,12490-3704,0.04580513,169.3780517578125,3.344151258468628,0.04580513015389442,2.3233459331445173e-05,0.08364045359320263
3833,169.37806497,3.34417038504,1-62475,12490-3704,0.04580513,169.3780517578125,3.344151258468628,0.04580513015389442,2.3233459331445173e-05,0.08364045359320263
3837,169.735220706,3.59085570083,1-138169,12490-6104,0.02722859,169.73524475097656,3.590855121612549,0.027228590101003647,2.4004759015854877e-05,0.08641713245707755
