,RASDSSinfo,DecSDSSinfo,zSDSSinfo,HalphaSDSSline [1e-17*erg/cm^2/s],OIII5007SDSSline [1e-17*erg/cm^2/s],OIII4959SDSSline [1e-17*erg/cm^2/s],HbetaSDSSline [1e-17*erg/cm^2/s],HdeltaSDSSline [1e-17*erg/cm^2/s],N6548SDSS [1e-17*erg/cm^2/s],N6584SDSS [1e-17*erg/cm^2/s],S6717SDSSline [1e-17*erg/cm^2/s],S6731SDSSline [1e-17*erg/cm^2/s],OII3726SDSSline [1e-17*erg/cm^2/s],OII3729SDSSline [1e-17*erg/cm^2/s],OI6300SDSSline [1e-17*erg/cm^2/s],HalphaSDSSline_ERR,OIII5007SDSSline_ERR,OIII4959SDSSline_ERR,HbetaSDSSline_ERR,HdeltaSDSSline_ERR,N6548SDSS_ERR,N6583SDSS_ERR,S6717SDSSline_ERR,S6731SDSSline_ERR,OII3726SDSSline_ERR,OII3729SDSSline_ERR,OI6300SDSSline_ERR,LOG_OH+12_T04_med,LOG_OH+12_T04_avg,Mstaravg_SDSStotlgm,Mstarmed_SDSStotlgm,Dn4000SDSSindx ,D4000SDSSindx ,Dn4000SDSSindx_err,D4000SDSSindx_err,petroRad,petroRadE,petroR50,petroR50E,petroR90,petroR90E,PETRO_MASS,MODEL_MASS,FIBER_MASS,U_PETRO_ABSMAG,G_PETRO_ABSMAG,R_PETRO_ABSMAG,I_PETRO_ABSMAG,Z_PETRO_ABSMAG,SFR_flag_all,totalSFR_Avg,totalSFR_Med,sSFR_avg_all ,sSFR_med_all ,sSFR_flag_all,fibSFR_avg_all,fibSFR_med_all,fibsSFR_avg_all,fibsSFR_med_all
2155,31.270056,-0.7117516,0.04319104,560.2879,34.44713,15.419538,134.88171,29.562397,99.50313,300.12442,86.74962,72.03326,58.82312,32.98452,19.127985,7.3419547,3.7486215,3.5261328,4.1776795,3.780995,2.023577,6.103569,4.1161094,3.9601245,6.753835,6.5229974,3.4356878,-99.9,-99.9,10.113661,10.101123,1.4420685,1.6036937,1.4420685,0.012261037,4.3518186,0.1051785,1.6594534,0.017038641,5.6970396,0.10418552,13461083000.0,12369751000.0,4521369600.0,-18.375698,-19.640196,-20.252274,-20.525663,-20.718718,0.0,-0.051789902,-0.051789902,-10.20475,-10.257122,0,-0.65228486,-0.55996805,-10.331841,-10.236954
2156,33.993656,-0.71357316,0.026766494,51.978085,35.536503,30.966883,6.0819216,-3.093923,14.229989,42.920933,18.978111,9.831852,15.208906,46.735252,5.7614465,7.651806,6.366266,6.558911,5.4225,5.391368,2.3259292,7.0155315,6.7935157,6.8248615,10.112792,10.400558,6.387574,-99.9,-99.9,10.72611,10.714095,1.8346714,2.0707076,1.8346714,0.014935969,14.0017805,0.39106205,6.031064,0.2559206,18.153152,1.8115115,45211380000.0,52216410000.0,4824961500.0,-18.788097,-20.576439,-21.302135,-21.63275,-21.820984,0.0,-1.17535,-1.17535,-11.93426,-11.906522,0,-2.3166218,-2.17977,-12.134488,-11.982362
2157,40.42667,-0.73079044,0.04254747,27.80669,18.906782,-0.22510841,13.107477,1.0702604,4.831803,14.5738325,4.1346636,3.8510215,9.588632,22.487556,2.8962739,4.32238,4.1132197,3.661903,4.1259146,4.515182,1.2671634,3.8220532,3.3036096,3.3232374,7.4495854,7.410327,3.259481,-99.9,-99.9,10.4206505,10.406672,1.866095,2.048927,1.866095,0.024241684,4.9853897,0.39465094,2.1281471,0.20749113,6.7236595,1.5231916,19087469000.0,23118137000.0,6066614000.0,-18.173338,-19.773474,-20.49502,-20.84078,-21.12298,0.0,-1.05781,-1.05781,-11.5155,-11.576835,0,-1.3980142,-1.4349304,-11.264058,-11.299459
2158,42.63961,-0.6700985,0.04446777,115.07098,21.43951,0.21767151,34.80152,5.893176,21.35588,64.41427,29.154055,11.098412,9.556259,28.405994,7.580526,3.4921105,3.343885,3.1599576,3.0333714,3.7622812,1.1797409,3.558367,3.0198846,2.745772,7.5825267,7.8120008,2.6969597,-99.9,-99.9,10.438299,10.427081,1.566141,1.7468638,1.566141,0.03297091,10.911985,0.20661521,4.5588403,0.030131355,11.449895,0.16384605,18736378000.0,31163636000.0,3179256300.0,-18.564968,-20.128555,-20.791494,-20.870802,-21.166458,0.0,-0.7413399,-0.7413399,-11.23843,-11.15647,0,-1.5453976,-1.3492397,-11.176787,-10.96145
2159,349.53494,-0.3904533,0.029273387,145.76051,79.584045,18.65841,54.854576,2.3824878,74.65046,225.16302,40.608154,3.6530619,45.85158,44.788986,22.242355,10.336633,8.287888,8.214158,7.5732465,6.2884846,3.7139344,11.202072,9.245405,9.113981,11.853656,11.801417,8.722666,-99.9,-99.9,11.183111,11.1719,1.917383,2.133865,1.917383,0.012363046,15.844818,0.04436515,6.9243417,0.016964167,18.980484,0.11628763,108825210000.0,122223985000.0,8525132300.0,-19.5447,-21.380505,-22.17921,-22.56773,-22.796972,0.0,-1.0898299,-1.0898299,-12.3221,-12.3052635,0,-2.3745906,-2.2550173,-12.515305,-12.382817
2160,350.34085,-0.36639023,0.033566028,745.1071,40.63684,12.288292,184.81355,43.10709,96.00496,289.57312,107.26687,81.46605,87.197365,73.87643,12.1039915,6.4697976,2.6940389,2.431346,3.6557527,3.309076,1.2300947,3.7102454,2.811469,2.5673287,6.383175,6.508205,1.991781,9.110107,9.120425,9.897202,9.875852,1.1891046,1.3542339,1.1891046,0.01414777,9.592222,0.23109028,4.3116064,0.024505295,10.802361,0.1680819,10099593000.0,9329009000.0,1025139840.0,-18.45223,-19.629519,-20.161629,-20.385038,-20.508854,0.0,0.086550094,0.086550094,-9.85197,-9.901268,0,-0.316129,-0.35525936,-9.26137,-9.2837515
2161,353.54724,-0.3982531,0.0438705,9.566761,-3.2019165,6.2589245,3.341683,0.6033504,0.43665558,1.3170539,-1.6633176,-2.3627436,-5.445444,0.87266284,-2.1156564,1.4825796,1.9546182,2.3220785,1.7788675,2.2654915,0.64963096,1.959435,1.8822073,1.8510616,4.2884793,4.219479,1.8971603,-99.9,-99.9,10.197925,10.186474,1.7431139,1.9449313,1.7431139,0.0293945,6.191638,0.15087771,2.458089,0.025247663,7.3446064,0.16016193,13783630000.0,15211692000.0,3542950100.0,-17.831642,-19.33434,-20.064741,-20.364782,-20.627535,0.0,-1.3386099,-1.3386099,-11.59412,-11.631419,0,-1.9093689,-1.9487256,-11.492074,-11.529137
2162,4.1267853,-0.26734108,0.039292477,172.5552,23.600662,13.605803,38.934658,16.110994,41.8531,126.23861,48.224995,39.317337,34.439205,29.401901,14.62874,2.4290462,2.1507525,2.0672214,1.9099827,2.112074,0.77052414,2.3240762,2.052693,1.9598714,3.8348165,3.8855147,1.8211616,-99.9,-99.9,10.472242,10.461415,1.5971888,1.8242706,1.5971888,0.014374439,9.485101,0.0957211,4.2840605,0.019810494,9.572192,0.107304305,20795683000.0,28161420000.0,3819578600.0,-18.735613,-20.06332,-20.69977,-20.975433,-21.217834,0.0,-0.41325992,-0.41325992,-10.91817,-10.862042,0,-1.3004819,-1.0756764,-10.97295,-10.739376
2163,14.292402,-0.34689775,0.04301011,0.31338638,2.1565921,2.9869518,6.6525335,3.3674786,0.5723197,1.7262483,5.1121206,0.5302586,-4.9599066,-5.447366,1.1505263,1.4649334,2.1053767,2.077106,1.9291097,2.5312486,0.7253431,2.1878,2.1411517,1.9532604,4.365169,4.4257045,1.9048483,-99.9,-99.9,10.158534,10.151784,1.803895,1.9461055,1.803895,0.03558084,6.6168947,0.12658432,2.916695,0.029872306,8.465013,0.22570677,12423505000.0,14804028000.0,2678163500.0,-17.852253,-19.286049,-19.983753,-20.312628,-20.444778,0.0,-1.2480199,-1.2480199,-11.43966,-11.305555,0,-2.5552223,-2.426915,-12.0761385,-11.914799
2164,14.66366,-0.22270596,0.046250787,5.8547807,5.1806464,3.5732708,1.4584792,-0.46066514,1.4597679,4.402997,-1.5424091,0.15192129,4.2924285,-3.0870833,-0.5451547,1.6460315,1.652226,1.6030449,1.5835626,1.9799463,0.4499806,1.3572439,1.341582,1.31862,3.4850376,3.4111562,1.2672585,-99.9,-99.9,10.182189,10.16996,2.0276864,1.968939,2.0276864,0.053646546,7.752485,0.10452801,3.707421,0.034029853,7.675611,0.18138981,14371629000.0,14049123000.0,1931962200.0,-17.676462,-19.349682,-20.082611,-20.426153,-20.664743,0.0,-1.3016399,-1.3016399,-11.51872,-11.39009,0,-2.8974385,-2.8206344,-12.328093,-12.204791
